id	type	slug	name	born	died	gender	species	hair_color	eye_color	skin_color	blood_status	marital_status	nationality	animagus	boggart	house	patronus	alias_names	family_members	jobs	romances	titles	wands	idhouses	idgender	idspecies	idsangre
fe608940 22d8 4d01 b77e 4bc21e7aec9e	character	justin finch fletchley s mother	mrs finch fletchley	before 1962  most likely 	missing	female	human	missing	missing	missing	muggle	missing	british	missing	missing	wampus	missing	missing	[ justin finch fletchley  son  ]	missing	missing	missing	missing	w	g1	sp1	s0
5f2fec3c aa70 4a48 8038 0aaa45c2369f	character	seamus finnigan s mother	mrs finnigan	before 1963  most likely , ireland	missing	female	human	sandy	missing	white	muggle  most likely 	married	irish	missing	missing	gryffindor  possibly 	missing	missing	[ mr finnigan  husband  ,  seamus finnigan  son  ,  fergus  nephew  ]	missing	missing	missing	missing		g1	sp1	s60
8be8ca20 31c6 4d75 a4c6 281d7d3b93ae	character	ambrosius flume s wife	mrs flume	before 1973  most likely 	missing	female	human	missing	missing	missing	pure blood or half blood  most likely 	married	british	missing	missing	gryffindor	missing	missing	[ ambrosius flume  husband  ]	[ co owner of honeydukes ]	missing	missing	missing	g	g1	sp1	s25
0afee51e e684 422f bdc4 bc7659ea29e8	character	cornelius fudge s wife	mrs fudge	missing	missing	female	human	missing	missing	missing	muggle born or half blood	married	missing	missing	missing	wampus	missing	missing	[ cornelius fudge  husband  ,  rufus fudge  nephew  ]	missing	missing	missing	missing	w	g1	sp1	s7
c9a64ce4 2392 4437 9004 6ac917c07d97	character	edmund gaddlegate s mother	mrs gaddlegate	15th century	missing	female	human	missing	missing	white	muggle	missing	english	missing	missing	hogwarts school of witchcraft and wizardry	missing	missing	[ edmund gaddlegate  son  ]	missing	missing	missing	missing	h	g1	sp1	s0
4719f2ac 267c 4386 a73f 77d59336f3d0	character	gibson	mrs gibson	missing	missing	female	human	missing	missing	missing	no maj	married	missing	missing	missing	did not attend hogwarts	missing	missing	missing	missing	missing	missing	missing	d	g1	sp1	s5
e2f3bcd9 e59f 4539 9a8f eaed630a6d56	character	goldstein sisters mother	mrs goldstein	1884 or earlier	1900s or 1910s	female	human	missing	missing	missing	half blood  possibly 	married	missing	missing	missing	did not attend hogwarts	missing	missing	[ father or father in law ,  mr goldstein  husband    ,  tina goldstein  daughter  ,  queenie goldstein  daughter  ,  newt scamander  son in law  ,  jacob kowalski  son in law  ,  at least one grandchild ]	missing	missing	missing	missing	d	g1	sp1	s29
114649de bd8c 4ab1 b553 a694880015ca	character	gregory goyle s mother	mrs goyle	missing	missing	female	human	missing	missing	missing	pure blood	missing	missing	missing	missing	horned serpent	missing	missing	[ mr goyle  husband  ,  gregory goyle  son  ]	missing	missing	missing	missing	hs	g1	sp1	s2
b87f2840 9262 44d8 b942 10099425fe38	character	hermione granger s mother	mrs granger	pre 1979	missing	female	human	missing	missing	missing	muggle	married	british	missing	missing	wampus	missing	[ monica wilkins  1997 1998  ]	[ mr granger  husband  ,  hermione granger  daughter  ,  ronald weasley  son in law  ,  rose granger weasley  granddaughter  ,  hugo granger weasley  grandson  ,  granger family ,  weasley family ]	[ dentist ]	[ mr granger  husband  ]	[ doctor ]	missing	w	g1	sp1	s0
3b5934f7 a927 4368 91f1 2ae4f0610d58	character	hall s wife	mrs hall	missing	missing	female	human	missing	missing	missing	no maj	widowed	missing	missing	missing	did not attend hogwarts	missing	missing	[ mr hall  husband  ]	missing	missing	missing	missing	d	g1	sp1	s5
51b74414 a431 42cd 9a72 00dc3a28eb04	character	rowan khanna s mother	mrs khanna	missing	missing	female	human	missing	missing	missing	pure blood  possibly 	married	british or irish  possibly 	missing	missing	did not attend hogwarts	missing	missing	[ brother or brother in law ,  mr khanna  husband  ,  rowan khanna    child  ,  son ]	[ farmer ]	missing	missing	missing	d	g1	sp1	s27
ff0e80ad a532 4bf5 b410 cb480cbb539d	character	h knighton s wife	mrs knighton	missing	missing	female	human	missing	missing	missing	pure blood  most likely 	widowed	missing	missing	missing	slytherin	missing	missing	[ h  knighton  husband    ,  at least one child ]	missing	missing	missing	missing	s	g1	sp1	s21
3d261898 de82 4935 b823 64bad3f087cb	character	viktor krum s mother	mrs krum	in or before 1945  possibly 	missing	female	human	dark	missing	missing	pure blood, half blood or muggle born	married	bulgarian	missing	missing	pukwudgie	missing	missing	[ viktor s grandfather  father or father in law   ,  mr krum  husband  ,  viktor krum  son  ]	missing	missing	missing	missing	p	g1	sp1	s11
6337dbf0 c329 4a16 8c9b 8509b00186b6	character	mason s wife	mrs mason	missing	missing	female	human	missing	missing	missing	muggle	married	british	missing	missing	gryffindor	missing	missing	[ mr mason  husband  ]	missing	missing	missing	missing	g	g1	sp1	s0
89de10e7 0c7a 4922 9c0b 1aa374667dd6	character	robert mcgonagall senior s mother	mrs mcgonagall	missing	missing	female	human	missing	missing	missing	muggle	missing	missing	missing	missing	thunderbird	missing	missing	[ mr mcgonagall  husband  ,  robert mcgonagall snr  son  ,  isobel mcgonagall  daughter in law  ,  minerva mcgonagall  granddaughter  ,  malcolm mcgonagall  grandson  ,  robert mcgonagall jr  grandson  ]	missing	missing	missing	missing	t	g1	sp1	s0
c4520b1f 8f8a 4ead 9ce8 0b176b1bc3a5	character	dougal mcgregor s wife	mrs mcgregor	no later than 1954	c  1970s or early 1980s	female	human	missing	missing	missing	muggle	married	missing	missing	missing	did not attend hogwarts	missing	missing	[ father ,  dougal mcgregor  husband    ,  mr mcgregor  father in law  ,  children   ]	missing	missing	missing	missing	d	g1	sp1	s0
4442ac45 711c 4dd1 a641 297ae1d5d169	character	mills	mrs mills	missing	14 september 1926	female	human	missing	missing	missing	no maj	married	missing	missing	missing	ravenclaw	missing	missing	missing	missing	missing	missing	missing	r	g1	sp1	s5
38f66599 47b1 4e74 ba9a bd8678b07552	character	zacharias smith s father	mr smith	missing	missing	male	human	missing	missing	missing	part goblin	missing	british	missing	missing	slytherin	missing	missing	[ zacharias smith  son  ,  sally smith  possibly  ,  hepzibah smith  possibly    ,  helga hufflepuff  possible ancestor    ]	missing	missing	missing	missing	s	g2	sp1	s40
4c362497 4463 4736 929c 23a06cf134a6	character	graham montague s mother	mrs montague	missing	missing	female	human	missing	missing	missing	half blood or squib	missing	british or irish	missing	missing	slytherin	missing	missing	[ husband ,  graham montague  son  ,  montague family ]	missing	missing	missing	missing	s	g1	sp1	s8
3b3c1a7f 9729 4ace bb9d 7f12a3d75c47	character	montgomery children s mother	mrs montgomery	before 1969  most likely 	missing	female	human	missing	missing	missing	magical to unknown extent	missing	missing	missing	missing	wampus	missing	missing	[ two daughters ,  montgomery    son  ,  phillip montgomery  possibly  ,  montgomery family ]	missing	missing	missing	missing	w	g1	sp1	s23
876d7e95 b7b8 471c b091 aee3a8bac357	character	alastor moody s mother	mrs moody	missing	before 1997	female	human	missing	missing	missing	pure blood	missing	missing	missing	missing	slytherin	missing	missing	[ mr moody  husband    ,  alastor moody  son    ]	[ auror ]	missing	missing	missing	s	g1	sp1	s2
4218ae00 d962 4e56 bee3 2b2ed84ee3ce	character	dursleys female neighbour	 mrs next door 	missing	missing	female	human	missing	missing	missing	muggle	missing	british	missing	missing	ravenclaw	missing	[ mrs next door  nickname  ]	[ daughter ]	missing	missing	missing	missing	r	g1	sp1	s0
dcb9fb05 946d 41d1 a5ec fe1b639d9215	character	mrs norris	mrs norris	1984 or earlier	missing	female	cat	dust coloured fur	yellow and lamp like	missing	giant	missing	missing	missing	missing	gryffindor	missing	missing	missing	missing	missing	missing	missing	g	g1	sp77	s44
82baba51 ce53 4be7 951c 132386d7ff02	character	theodore nott s mother	mrs nott	missing	sometime between 1980 and 1995	female	human	missing	missing	missing	pure blood or half blood	married	missing	missing	missing	ravenclaw	missing	missing	[ mr nott  husband  ,  theodore nott  son  ,  cantankerus nott  possible in law  ]	missing	missing	missing	missing	r	g1	sp1	s4
a58d77be da49 4b23 b805 d85795a586fd	character	garrick ollivander s mother	mrs ollivander	missing	missing	female	human	missing	missing	missing	muggle born	missing	missing	missing	missing	gryffindor	missing	missing	[ gervaise ollivander  husband  ,  garrick ollivander  son  ,  grandson ,  granddaughter   ]	missing	missing	missing	missing	g	g1	sp1	s22
99742019 ae78 4354 905d d97ba99a9f29	character	garrick ollivander s wife	mrs ollivander	missing	missing	female	human	missing	missing	missing	part human  one eighth veela 	married	missing	missing	missing	slytherin	missing	missing	[ garrick ollivander  husband  ,  son ,  daughter    ,  gervaise ollivander  father in law  ,  mother in law ]	missing	missing	missing	missing	s	g1	sp1	s66
f422f2a7 d65a 4701 b833 c8b74d633816	character	parry	mrs parry	before 1927	missing	female	missing	missing	missing	missing	pure bloods	missing	missing	missing	missing	hogwarts school of witchcraft and wizardry	missing	missing	missing	missing	missing	missing	missing	h	g1	sp0	s19
d19375fd 297f 4ffe bb0e 77dddc616c5f	character	patil twins mother	mrs patil	missing	missing	female	human	missing	missing	missing	half blood  most likely 	missing	british	missing	missing	slytherin	missing	missing	[ mr patil  husband  ,  parvati patil  daughter  ,  padma patil  daughter  ]	missing	missing	missing	missing	s	g1	sp1	s26
1046b2b1 6530 4628 8b00 fc34cd36a592	character	peter pettigrew s mother	mrs pettigrew	missing	missing	female	human	missing	missing	missing	pure blood  likely 	missing	missing	missing	missing	hogwarts school of witchcraft and wizardry	missing	missing	[ peter pettigrew  son    ,  enid pettigrew  possibly  ]	missing	missing	missing	missing	h	g1	sp1	s39
2ef81e86 f97c 472b b6d2 efbdd981b621	character	mirabella plunkett s father	mrs plunkett	missing	missing	male	human	missing	missing	missing	pure blood  likely 	missing	missing	missing	missing	pukwudgie	missing	missing	[ mrs plunkett  wife  ,  mirabella plunkett  daughter  ,  possible son in law ]	missing	missing	missing	missing	p	g2	sp1	s39
6972e7f4 1e06 442e b9d6 1bd44f16d0f1	character	mirabella plunkett s mother	mrs plunkett	missing	missing	female	human	missing	missing	missing	squib  suspected 	missing	missing	missing	missing	slytherin	missing	missing	[ mr plunkett  husband  ,  mirabella plunkett  daughter  ,  possible son in law ]	missing	missing	missing	missing	s	g1	sp1	s48
7f102eb4 ec35 4467 9cd1 c2f97a13f659	character	piers polkiss s mother	mrs polkiss	missing	missing	female	human	missing	missing	missing	muggle	missing	british	missing	missing	horned serpent	missing	missing	[ piers polkiss  son  ]	missing	missing	missing	missing	hs	g1	sp1	s0
e6af6227 de32 4df6 8cc5 9982748f3364	character	henry potter s mother	mrs potter  née fleamont 	missing	pre 1909	female	human	missing	missing	missing	muggle born  possibly 	missing	missing	missing	missing	slytherin	missing	missing	[ henry potter  son    ,  fleamont potter  grandson    ,  james potter i  great grandson    ,  harry potter  great great grandson  ,  james potter ii  great great great grandson  ,  albus potter  great great great grandson  ,  lily potter ii  great great great granddaughter  ,  charlus potter  possibly    ,  charlus  son  possibly  ,  fleamont family ,  potter family ]	missing	missing	missing	missing	s	g1	sp1	s14
5e73d85a eb00 490f 9ac5 3de2497f07e1	character	molly weasley s mother	mrs prewett	before 1932  most likely 	missing	female	human	red  possibly 	missing	missing	pure blood	married	english	missing	missing	hufflepuff	missing	missing	[ mr prewett  husband  ,  bilius  possible son    ,  tessie  sister or sister in law  ,  muriel  possible aunt  ,  molly weasley  daughter  ,  gideon prewett  son    ,  fabian prewett  son    ,  ignatius prewett  brother in law  ,  arthur weasley  son in law  ,  possible grandmother ,  seven grandchildren ,  twelve great grandchildren ,  prewett family ]	missing	[ mr prewett  husband    ]	missing	missing	h	g1	sp1	s2
c29b7fa2 0a5f 46e3 a121 e77d2411486d	character	roberts s wife	mrs roberts	missing	missing	female	human	missing	missing	missing	muggle	married	british	missing	missing	hogwarts school of witchcraft and wizardry	missing	missing	[ mr roberts  husband  ,  two children ]	missing	missing	missing	missing	h	g1	sp1	s0
e19c086e bf18 47a9 be54 e5a0050de689	character	isobel ross s mother	mrs ross	missing	missing	female	human	missing	missing	missing	no maj  likely 	missing	missing	missing	missing	gryffindor	missing	missing	[ minerva  mother or mother in law  ,  mr ross  husband  ,  isobel ross  daughter  ,  robert mcgonagall snr  son in law  ,  minerva mcgonagall  granddaughter  ,  malcolm mcgonagall  grandson  ,  robert mcgonagall jr  grandson  ]	missing	missing	missing	missing	g	g1	sp1	s57
1f84ecdb f5ef 4653 b3ba 9321acdb652d	character	scamander brothers mother	mrs scamander	before 1879  most likely 	missing	female	human	missing	missing	missing	muggle  possibly 	missing	missing	missing	missing	hufflepuff  possibly 	missing	missing	[ mr scamander  husband, most likely  ,  newt scamander  son  ,  theseus scamander  son  ,  tina goldstein  daughter in law  ,  grandchild ,  rolf scamander  great grandson  ,  scamander family ]	[ hippogriff breeder ]	missing	missing	missing		g1	sp1	s69
e86f36f2 9aa6 4b7b 89be c4527ade760a	character	janus thickey s wife	mrs thickey	missing	missing	female	human	missing	missing	missing	pure blood or half blood, or squib	married	missing	missing	missing	slytherin	missing	missing	[ janus thickey  husband  ,  children ]	missing	[ janus thickey ]	missing	missing	s	g1	sp1	s47
95abee11 1bdc 4137 8f48 de3e58e69d6c	character	dean thomas s mother	mrs thomas	missing	missing	female	human	missing	missing	missing	muggle	widowed in first marriage  subsequently remarried	missing	missing	missing	hogwarts school of witchcraft and wizardry	missing	missing	[ mr thomas  first husband    ,  unnamed second husband ,  dean thomas  son  ,  several children with second husband ]	missing	missing	missing	missing	h	g1	sp1	s0
fd33d168 580a 4eec a4f0 4c5fd09352dd	character	sybill trelawney s mother	mrs trelawney	missing	missing	female	human	missing	missing	missing	muggle	married	british	missing	missing	gryffindor	missing	missing	[ mr trelawney  husband  ,  sybill trelawney  daughter  ,  higglebottom  ex son in law  ]	missing	missing	missing	missing	g	g1	sp1	s0
48839ee4 548f 4f76 99e2 eb9cbf8f74bd	character	donaghan tremlett s mother	mrs tremlett	missing	missing	male	human	missing	missing	missing	muggle	married	missing	missing	missing	pukwudgie	missing	missing	[ mr tremlett  husband  ,  donaghan tremlett  son  ,  mrs or mr tremlett  son or daughter in law  ]	missing	missing	missing	missing	p	g2	sp1	s0
44859661 980b 4e73 8d60 bec908931288	character	tubbs	mrs tubbs	missing	missing	female	human	missing	missing	missing	pure blood or half blood  likely 	married	missing	missing	missing	hufflepuff	missing	missing	missing	[ owner of the tuck shop ]	missing	missing	missing	h	g1	sp1	s10
5a534a53 9e81 4127 9ddb 4523b052b40c	character	liz tuttle s mother	mrs tuttle	before 1973	missing	female	human	missing	missing	missing	pure blood or half blood	missing	somali british	missing	missing	hufflepuff	missing	missing	[ father ,  mother ,  lana tuttle  daughter  ,  liz tuttle  daughter  ]	missing	missing	missing	missing	h	g1	sp1	s4
64d13876 0fc1 4fb9 afcb dfe6353c0ca8	character	sugarplum	mr sugarplum	missing	missing	male	human	missing	blue	white	part human  half veela 	missing	british	missing	missing	horned serpent	missing	missing	missing	[ owner of sugarplum s sweets shop ]	missing	missing	missing	hs	g2	sp1	s16
aafe4d91 536d 4110 b695 a3244d963bef	character	emma vane s mother	mrs vane	missing	missing	female	human	missing	missing	missing	squib  possibly 	missing	missing	missing	missing	hufflepuff	missing	missing	[ emma vane  daughter  ,  romilda vane  possibly  ]	missing	missing	missing	missing	h	g1	sp1	s15
1a4f2a53 3719 4f4a 8280 179630a6f646	character	celestina warbeck s mother	mrs warbeck	missing	missing	female	human	missing	missing	missing	muggle	married	welsh	missing	missing	gryffindor	missing	missing	[ mr warbeck  husband  ,  celestina warbeck  daughter  ,  first son in law ,  second son in law ,  irving warble  third son in law  ,  one grandson ]	[ actress  formerly  ]	missing	missing	missing	g	g1	sp1	s0
189fe243 9fba 408c a3c0 bee28d58ccb9	character	myrtle warren s mother	mrs warren	missing	missing	female	human	missing	missing	missing	muggle	married	missing	missing	missing	hufflepuff	missing	missing	[ husband ,  myrtle warren  daughter    ]	missing	missing	missing	missing	h	g1	sp1	s0
9596b659 7d36 4cc9 8b88 2518dab7b5fa	character	westenberg s wife	mrs westenberg	missing	summer, 1997	female	human	missing	missing	missing	pure bloods	married	english	missing	missing	hogwarts school of witchcraft and wizardry	missing	missing	[ mr westenberg  husband   ]	missing	missing	missing	missing	h	g1	sp1	s19
731b3aae 43d7 4d5e 946b 5e0618319b75	character	oliver wood s mother	mrs wood	missing	missing	female	human	missing	missing	missing	muggle borns	married	missing	missing	missing	hufflepuff	missing	missing	[ mr wood  husband  ,  oliver wood  son  ]	missing	missing	missing	missing	h	g1	sp1	s67
8deea5bf 1caf 4054 b243 5265ae22cb9f	character	bowman wright s mother	mrs wright	missing	missing	female	human	missing	missing	missing	pure blood  most likely 	missing	missing	missing	missing	did not attend hogwarts	missing	missing	[ mr wright  husband  ,  bowman wright  son    ]	missing	missing	missing	missing	d	g1	sp1	s21
6e6a8ee1 a519 43b9 92d1 aa25631c2a1d	character	blaise zabini s mother	mrs zabini	missing	missing	female	human	missing	missing	missing	no maj  likely 	widowed seven times	missing	missing	missing	slytherin  likely 	missing	missing	[ seven husbands   ,  blaise zabini  son  ]	missing	missing	missing	missing		g1	sp1	s57
97adbc30 4c1b 4d66 ad7f c994ddd12ba1	character	dean thomas s stepfather	mr thomas	missing	missing	male	human	missing	missing	missing	muggle	missing	british	missing	missing	horned serpent	missing	missing	[ mrs thomas  wife  ,  dean thomas  stepson  ,  several children with mrs thomas ]	missing	missing	missing	missing	hs	g2	sp1	s0
da4e3a7c 2bca 47ce b1fd 86e4640da650	character	mr tibbles	mr tibbles	before 1991	missing	male	part kneazle cat	missing	missing	missing	no maj  most likely 	missing	missing	missing	missing	wampus	missing	missing	missing	missing	missing	missing	missing	w	g2	sp124	s34
a3d48799 1091 40dc 9d39 2ea450cfe08b	character	sybill trelawney s father	mr trelawney	missing	missing	male	human	missing	missing	missing	pure blood or half blood	married	british	missing	missing	hogwarts school of witchcraft and wizardry	missing	missing	[ mrs trelawney  wife  ,  sybill trelawney  daughter  ,  higglebottom  ex son in law  ,  cassandra trelawney  great grandmother  ]	missing	missing	missing	missing	h	g2	sp1	s4
dbd82444 caf2 4edd 96e8 385080d7fe2c	character	donaghan tremlett s father	mr tremlett	missing	missing	male	human	missing	missing	missing	muggle	married	missing	missing	missing	hogwarts school of witchcraft and wizardry	missing	missing	[ mrs tremlett  wife  ,  donaghan tremlett  son  ,  mrs or mr tremlett  son or daughter in law  ]	missing	missing	missing	missing	h	g2	sp1	s0
ad8d6e35 45f0 43dd 8966 8722ef5f58c6	character	celestina warbeck s father	mr warbeck	before 1900  most likely 	missing	male	human	missing	missing	missing	half blood or squib	married	welsh	missing	missing	hogwarts school of witchcraft and wizardry	missing	missing	[ mrs warbeck  wife  ,  celestina warbeck  daughter  ,  first son in law ,  second son in law ,  irving warble  third son in law  ,  one grandson ]	[ minor functionary in the muggle liaison office ]	missing	missing	missing	h	g2	sp1	s8
aa185905 12ff 4453 a5f4 069b2e6d3a9c	character	mr whiskers	mr whiskers	missing	missing	male	manticore	missing	missing	missing	pure blood or half blood	missing	missing	missing	missing	hufflepuff	missing	missing	missing	missing	missing	missing	missing	h	g2	sp125	s4
bae04756 f1bf 4e3e be8e b7c90647f27f	character	oliver wood s father	mr wood	before 1975	missing	male	human	missing	missing	missing	pure blood or half blood, or squib	married	missing	missing	missing	slytherin	missing	missing	[ mrs wood  wife  ,  oliver wood  son  ,  robert wood  possibly  ]	missing	missing	missing	missing	s	g2	sp1	s47
3c0e7ce6 20ed 427b 92e1 2b401774af6c	character	bowman wright s father	mr wright	missing	missing	male	human	missing	missing	missing	muggle	missing	missing	missing	missing	wampus	missing	missing	[ mrs wright  wife  ,  bowman wright  son    ]	missing	missing	missing	missing	w	g2	sp1	s0
47bdf4f2 8aa3 4bf6 93d8 e17dae96a66a	character	fisher s daughter	ms fisher	before 1977	missing	female	human	missing	missing	missing	muggle	missing	british	missing	missing	did not attend hogwarts	missing	missing	[ fisher  father  ]	missing	missing	missing	missing	d	g1	sp1	s0
6c58eed2 031f 488b 9f80 581e197067a3	character	muggle artefact smuggler	muggle artefact smuggler	before 1990	missing	male	human	missing	missing	missing	half bloods or squibs	missing	missing	missing	missing	slytherin	missing	missing	missing	[ artefact smuggler ]	missing	missing	missing	s	g2	sp1	s33
07ea64f3 a819 41b3 bccb d68fddac39a6	character	muggle at circus	muggle at circus	missing	missing	male	human	missing	missing	missing	muggle	missing	missing	missing	missing	pukwudgie	missing	missing	missing	missing	missing	missing	missing	p	g2	sp1	s0
b163adba daf0 472b b33c 1a5003355e09	character	unidentified muggle family	muggle family	missing	missing	missing	missing	missing	missing	missing	muggles	missing	missing	missing	missing	pukwudgie	missing	missing	missing	missing	missing	missing	missing	p	g0	sp0	s35
b63d540b 8b2d 45f5 8c7f 48a72e33b8b3	character	unidentified muggle football commentator	muggle football commentator	missing	missing	male	human	missing	missing	missing	muggle	missing	missing	missing	missing	horned serpent	missing	missing	missing	[ football commentator ]	missing	missing	missing	hs	g2	sp1	s0
4e123fa1 0477 4e28 b002 b9e2879d7553	character	unidentified muggle girl from liverpool	muggle girl from liverpool	liverpool	missing	female	human	 like spun silk 	missing	missing	muggle	missing	english	missing	missing	hufflepuff	missing	missing	missing	missing	missing	missing	missing	h	g1	sp1	s0
e2ea9219 e17d 4b13 9dac 252f19358eb7	character	muggle residents of budleigh babberton	muggle residents of budleigh babberton	missing	missing	missing	missing	missing	missing	missing	muggle	missing	missing	missing	missing	did not attend hogwarts	missing	missing	missing	missing	missing	missing	missing	d	g0	sp0	s0
d7ac3108 1766 41ce 9a91 76d4deee1ee1	character	unidentified male muggle studies professor	muggle studies professor	missing	missing	male	human	missing	missing	missing	pure blood or half blood	missing	missing	missing	missing	did not attend hogwarts	missing	missing	missing	[ professor of muggle studies  at least 1992–1993  ]	missing	[ professor ]	missing	d	g2	sp1	s4
abf2b849 a1bd 430f b858 ce4f47d6f9a1	character	male muggle studies teacher s student assistant	muggle studies teacher s student assistant	31 august 1979 or earlier	missing	male	human	blond	brown	white	pure blood or half blood	missing	british or irish	missing	missing	hufflepuff	missing	missing	missing	[ student assistant ]	missing	missing	missing	h	g2	sp1	s4
b78e224a 0f6c 4b6d a430 a621e7d8e9c7	character	unidentified muggle tramp	muggle tramp	missing	after 1946, but before the 1970s	missing	human	missing	missing	missing	muggle	missing	missing	missing	missing	horned serpent	missing	missing	missing	missing	missing	missing	missing	hs	g0	sp1	s0
88167237 a55b 4a74 a1c3 fbf6cea24853	character	mulciber i	mulciber	missing	missing	male	human	missing	missing	missing	pure blood or half blood	missing	missing	missing	missing	did not attend hogwarts	none	missing	[ mulciber  possible son  ]	missing	missing	missing	missing	d	g2	sp1	s4
6674526c c0a8 4034 9f91 eb6d79bb7fff	character	muldoon cragg	muldoon cragg	missing	before 1991	male	human	grey	missing	white	pure blood or half blood  most likely 	missing	british or irish	missing	missing	gryffindor	missing	missing	[ elfrida cragg  possibly  ]	[ head of gryffindor house      before 1991  ]	missing	[ head of gryffindor house ]	missing	g	g2	sp1	s25
3c897c7d f040 445c 811f 5e63abd2ef17	character	mullet	mullet	missing	missing	female	human	missing	missing	missing	non magique	missing	missing	missing	missing	ravenclaw	missing	missing	missing	[ chaser for the irish national quidditch team ]	missing	[ chaser ]	missing	r	g1	sp1	s64
55062e72 e1f4 4eb7 bfce 926f2e0dd654	character	mundungus fletcher	mundungus fletcher	before 1962	missing	male	human	ginger	brown	light	half blood	single	british or irish	missing	missing	wampus	non corporeal	[ dung ,  harry potter  under disguise of polyjuice  ]	[ phineas fletcher  possible ancestor  ]	[ dealer of wizarding artefacts ]	missing	missing	[ unknown length, wood and core ]	w	g2	sp1	s1
8627c13d d7e5 4b16 b086 5e801d9986ab	character	mungo bonham	mungo bonham	1560	1659  aged 98 99 	male	human	brown	brown	dark	one or both of them magical	missing	missing	missing	missing	pukwudgie	missing	missing	missing	[ healer ]	missing	[ saint ]	missing	p	g2	sp1	s18
44e06ef9 ba78 42e0 9f33 978bf559fc4a	character	mungo macduff	mungo macduff	missing	missing	male	human	missing	missing	missing	one or both of them magical	missing	missing	missing	missing	gryffindor	missing	missing	[ macduff  possibly  ]	[ auror ]	missing	missing	missing	g	g2	sp1	s18
433cc01e ecc6 4316 bf08 26167097a300	character	murcus	murcus	before 1994	missing	female	selkie  merpeople 	green	yellow	grey	half blood or squib	missing	missing	missing	missing	hogwarts school of witchcraft and wizardry	missing	missing	missing	[ merchieftainess of the black lake selkie colony ]	missing	[ merchieftainess ]	missing	h	g1	sp114	s8
ee075560 207d 4b76 b2ce e8720a454c95	character	muriel	muriel	between 2 august, 1889 and 31 july, 1890	missing	female	human	red  possibly, formerly , light grey	missing	light	pure blood or half blood	missing	english	missing	missing	slytherin	missing	missing	[ mother ,  mr prewett  nephew or nephew in law  ,  mrs prewett  niece or niece in law  ,  fabian prewett  great nephew    ,  gideon prewett  great nephew    ,  molly prewett  great niece  ,  lancelot  cousin  ,  tessie  possible niece  ,  bilius  possible great nephew    ,  ignatius prewett  possible nephew  ,  lucretia black  possible niece in law  ,  weasley family ,  prewett family ]	missing	missing	missing	missing	s	g1	sp1	s4
acd8da4e 341f 4adc 934a cf61ea1f7b01	character	muriel rothley	muriel rothley	31 august 1982 or earlier	missing	female	human	missing	missing	missing	giant	missing	british or irish	missing	missing	slytherin	missing	missing	missing	missing	missing	missing	missing	s	g1	sp1	s44
771328d3 6125 45aa 902f d19e53f3c2db	character	muriel s mother	muriel s mother	before 2 august, 1890	missing	female	human	missing	missing	missing	pure blood or half blood  possibly 	missing	missing	missing	missing	hogwarts school of witchcraft and wizardry	missing	missing	[ muriel  daughter  ,  mr prewett  possible grandson  ,  mrs prewett  possible granddaughter in law  ,  tessie  possible daughter  ,  molly weasley  possible great granddaughter  ,  fabian prewett  possible great grandson  ,  gideon prewett  possible great grandson  ,  weasley children  possible great great grandchildren  ,  lancelot  nephew  ]	missing	missing	missing	missing	h	g1	sp1	s9
451b9dcc a6a6 4b83 89a7 88acb6e3fd5c	character	murphy mcnully	murphy mcnully	between 1 september 1970 and 31 august 1974  most likely 	missing	male	human	blond	grey	light	pure blood or half blood	missing	british or irish	missing	missing	gryffindor	missing	missing	[ mother ,  grandmother ]	missing	missing	missing	missing	g	g2	sp1	s4
feedd150 055d 4a6d adb7 a5689d134abb	character	murphy mcnully s grandmother	murphy mcnully s grandmother	missing	missing	female	human	missing	missing	missing	half blood	missing	missing	missing	missing	horned serpent	missing	missing	[ murphy mcnully  grandson  ]	missing	missing	missing	missing	hs	g1	sp1	s1
a48c19b2 f906 45b3 8a12 36469e6a3ca8	character	murphy mcnully s mother	murphy mcnully s mother	missing	missing	female	human	missing	missing	missing	giant	missing	british	missing	missing	hogwarts school of witchcraft and wizardry	missing	missing	[ murphy mcnully  son  ]	missing	missing	missing	missing	h	g1	sp1	s44
71623f04 decc 4087 9a16 5bd285fddc99	character	music classroom monitor	music classroom monitor	31 august 1979 or earlier	missing	male	human	black	green	black	pure blood or half blood  possibly 	missing	british or irish	missing	missing	ravenclaw	missing	missing	missing	missing	missing	missing	missing	r	g2	sp1	s9
60e563bb e3ea 4d86 b118 be0b4259a173	character	musidora barkwith	musidora barkwith	1520	1666  aged 145 146 	female	human	grey	blue	white	half blood or pure blood	missing	british	missing	missing	slytherin	missing	missing	missing	[ composer ]	missing	missing	missing	s	g1	sp1	s31
eae5abf2 1b6a 4692 82a1 b5ab8aedd608	character	mustafa kama	mustafa kama	before 1884	between 1896 and 1901	male	human	missing	missing	dark	pure blood	missing	french	missing	missing	wampus	missing	missing	[ laurena kama  wife    ,  yusuf kama  son  ,  kama family ]	missing	missing	missing	missing	w	g2	sp1	s2
